date,neer,ktb_1y,ktb_10y,kospi,cycle_raw,policy_raw,trade_raw,risk_raw,cycle,policy,trade,risk,cycle_z,policy_z,trade_z,risk_z,n_themes,macro_sign,macro_z
2015-01-02,,2.074,2.66,1926.44,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-05,,2.058,2.622,1915.75,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-06,,2.035,2.555,1882.45,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-07,,2.032,2.56,1883.83,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-08,,2.03,2.552,1904.65,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-09,,2.022,2.536,1924.7,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-12,,1.981,2.449,1920.95,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-13,,1.982,2.433,1917.14,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-14,,1.956,2.369,1913.66,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-15,,1.999,2.45,1914.14,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-16,,1.977,2.344,1888.13,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-19,,1.989,2.385,1902.62,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-20,,1.978,2.36,1918.31,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-21,,1.982,2.372,1921.23,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-22,,1.993,2.405,1920.82,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-23,,1.974,2.329,1936.09,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-26,,1.97,2.3,1935.68,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-27,,1.975,2.3,1952.4,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-28,,1.966,2.259,1961.58,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-29,,1.965,2.227,1951.02,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-01-30,,1.962,2.24,1949.26,0.02464121730281205,,,,1.0,,,,,,,,1,,
2015-02-02,,1.967,2.245,1952.68,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-03,,1.938,2.211,1951.96,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-04,,1.945,2.249,1962.79,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-05,,1.943,2.278,1952.84,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-06,,1.94,2.273,1955.52,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-09,,1.949,2.295,1947.0,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-10,,1.987,2.356,1935.86,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-11,,1.986,2.352,1945.7,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-12,,2.002,2.406,1941.63,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-13,,1.996,2.4,1957.5,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-16,,2.016,2.477,1958.23,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-17,,2.0,2.383,1961.45,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-23,,2.009,2.426,1968.39,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-24,,2.006,2.434,1976.12,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-25,,1.998,2.375,1990.47,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-26,,1.999,2.366,1993.08,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-02-27,,1.997,2.353,1985.8,0.012086206003198052,,,,1.0,,,,,,,,1,,
2015-03-02,,1.979,2.33,1996.81,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-03,,1.971,2.352,2001.38,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-04,,1.961,2.367,1998.29,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-05,,1.957,2.355,1998.38,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-06,,1.925,2.329,2012.94,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-09,,1.917,2.371,1992.82,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-10,,1.911,2.387,1984.77,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-11,,1.875,2.316,1980.83,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-12,,1.836,2.347,1970.59,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-13,,1.821,2.356,1985.79,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-16,,1.815,2.315,1987.33,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-17,,1.817,2.319,2029.91,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-18,,1.802,2.282,2028.45,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-19,,1.783,2.212,2037.89,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-20,,1.772,2.207,2037.24,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-23,,1.769,2.194,2036.59,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-24,,1.769,2.193,2041.37,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-25,,1.763,2.171,2042.81,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-26,,1.762,2.178,2022.56,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-27,,1.759,2.18,2019.8,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-30,,1.742,2.152,2030.04,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-03-31,,1.722,2.16,2041.03,0.01630000501932375,,,,1.0,,,,,,,,1,,
2015-04-01,,1.713,2.15,2028.45,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-02,,1.706,2.119,2029.07,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-03,,1.701,2.086,2045.42,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-06,,1.698,2.068,2046.43,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-07,,1.694,2.104,2047.03,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-08,,1.699,2.112,2059.26,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-09,,1.677,2.077,2058.87,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-10,,1.684,2.07,2087.76,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-13,,1.69,2.103,2098.92,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-14,,1.692,2.121,2111.72,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-15,,1.691,2.122,2119.96,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-16,,1.695,2.157,2139.9,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-17,,1.678,2.112,2143.5,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-20,,1.677,2.143,2146.71,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-21,,1.682,2.174,2144.79,0.01738638622378235,,,,1.0,,,,,,,,1,,
2015-04-22,,1.683,2.175,2143.89,0.01738638622378235,,,,1.0,,,,,,,,1,,
