TIME,DATA_VALUE,retrieved_at
1991Q1,13.89,2026-09-11
1991Q2,16.64,2026-09-11
1991Q3,18.62,2026-09-11
1991Q4,17.34,2026-09-11
1992Q1,14.46,2026-09-11
1992Q2,14.89,2026-09-11
1992Q3,14.9,2026-09-11
1992Q4,12.79,2026-09-11
1993Q1,11.37,2026-09-11
1993Q2,11.6,2026-09-11
1993Q3,13.31,2026-09-11
1993Q4,11.62,2026-09-11
1994Q1,11.15,2026-09-11
1994Q2,11.95,2026-09-11
1994Q3,13.28,2026-09-11
1994Q4,12.75,2026-09-11
1995Q1,14.17,2026-09-11
1995Q2,12.89,2026-09-11
1995Q3,11.37,2026-09-11
1995Q4,11.1,2026-09-11
1996Q1,10.48,2026-09-11
1996Q2,11.08,2026-09-11
1996Q3,14.08,2026-09-11
1996Q4,13.75,2026-09-11
1997Q1,11.93,2026-09-11
1997Q2,12.18,2026-09-11
1997Q3,12.32,2026-09-11
1997Q4,16.28,2026-09-11
1998Q1,23.75,2026-09-11
1998Q2,18.75,2026-09-11
1998Q3,10.23,2026-09-11
1998Q4,7.2,2026-09-11
1999Q1,5.66,2026-09-11
1999Q2,4.79,2026-09-11
1999Q3,4.74,2026-09-11
1999Q4,4.76,2026-09-11
2000Q1,4.95,2026-09-11
2000Q2,5.1,2026-09-11
2000Q3,5.12,2026-09-11
2000Q4,5.33,2026-09-11
2001Q1,5.14,2026-09-11
2001Q2,5.01,2026-09-11
2001Q3,4.57,2026-09-11
2001Q4,4.01,2026-09-11
2002Q1,4,2026-09-11
2002Q2,4.18,2026-09-11
2002Q3,4.29,2026-09-11
2002Q4,4.3,2026-09-11
2003Q1,4.27,2026-09-11
2003Q2,4.11,2026-09-11
2003Q3,3.77,2026-09-11
2003Q4,3.77,2026-09-11
2004Q1,3.77,2026-09-11
2004Q2,3.76,2026-09-11
2004Q3,3.63,2026-09-11
2004Q4,3.38,2026-09-11
2005Q1,3.26,2026-09-11
2005Q2,3.27,2026-09-11
2005Q3,3.25,2026-09-11
2005Q4,3.54,2026-09-11
2006Q1,3.88,2026-09-11
2006Q2,4.03,2026-09-11
2006Q3,4.37,2026-09-11
2006Q4,4.48,2026-09-11
2007Q1,4.61,2026-09-11
2007Q2,4.61,2026-09-11
2007Q3,4.86,2026-09-11
2007Q4,5,2026-09-11
2008Q1,4.98,2026-09-11
2008Q2,4.97,2026-09-11
2008Q3,5.13,2026-09-11
2008Q4,4.05,2026-09-11
2009Q1,2.09,2026-09-11
2009Q2,1.88,2026-09-11
2009Q3,1.97,2026-09-11
2009Q4,2,2026-09-11
2010Q1,2,2026-09-11
2010Q2,2,2026-09-11
2010Q3,2.25,2026-09-11
2010Q4,2.38,2026-09-11
2011Q1,2.78,2026-09-11
2011Q2,3.08,2026-09-11
2011Q3,3.25,2026-09-11
2011Q4,3.25,2026-09-11
2012Q1,3.25,2026-09-11
2012Q2,3.26,2026-09-11
2012Q3,3.02,2026-09-11
2012Q4,2.77,2026-09-11
2013Q1,2.75,2026-09-11
2013Q2,2.6,2026-09-11
2013Q3,2.49,2026-09-11
2013Q4,2.5,2026-09-11
2014Q1,2.49,2026-09-11
2014Q2,2.49,2026-09-11
2014Q3,2.35,2026-09-11
2014Q4,2.01,2026-09-11
2015Q1,1.93,2026-09-11
2015Q2,1.68,2026-09-11
2015Q3,1.48,2026-09-11
2015Q4,1.48,2026-09-11
2016Q1,1.49,2026-09-11
2016Q2,1.42,2026-09-11
2016Q3,1.23,2026-09-11
2016Q4,1.23,2026-09-11
2017Q1,1.23,2026-09-11
2017Q2,1.23,2026-09-11
2017Q3,1.24,2026-09-11
2017Q4,1.34,2026-09-11
2018Q1,1.49,2026-09-11
2018Q2,1.49,2026-09-11
2018Q3,1.51,2026-09-11
2018Q4,1.6,2026-09-11
2019Q1,1.76,2026-09-11
2019Q2,1.75,2026-09-11
2019Q3,1.55,2026-09-11
2019Q4,1.3,2026-09-11
2020Q1,1.16,2026-09-11
2020Q2,0.64,2026-09-11
2020Q3,0.49,2026-09-11
2020Q4,0.5,2026-09-11
2021Q1,0.49,2026-09-11
2021Q2,0.49,2026-09-11
2021Q3,0.62,2026-09-11
2021Q4,0.85,2026-09-11
2022Q1,1.22,2026-09-11
2022Q2,1.516,2026-09-11
2022Q3,2.256,2026-09-11
2022Q4,3.097,2026-09-11
2023Q1,3.373,2026-09-11
2023Q2,3.534,2026-09-11
2023Q3,3.548,2026-09-11
2023Q4,3.576,2026-09-11
2024Q1,3.506,2026-09-11
2024Q2,3.532,2026-09-11
2024Q3,3.526,2026-09-11
2024Q4,3.207,2026-09-11
2025Q1,2.924,2026-09-11
2025Q2,2.676,2026-09-11
2025Q3,2.511,2026-09-11
2025Q4,2.519,2026-09-11
2026Q1,2.533,2026-09-11
2026Q2,2.53,2026-09-11
