TIME,DATA_VALUE,retrieved_at
1995Q1,25983.7,2026-09-11
1995Q2,26350.8,2026-09-11
1995Q3,26764,2026-09-11
1995Q4,27029.4,2026-09-11
1996Q1,27664.4,2026-09-11
1996Q2,28103.6,2026-09-11
1996Q3,28477.5,2026-09-11
1996Q4,29217.1,2026-09-11
1997Q1,28516.5,2026-09-11
1997Q2,28980.5,2026-09-11
1997Q3,29186.6,2026-09-11
1997Q4,29511.9,2026-09-11
1998Q1,29699.9,2026-09-11
1998Q2,30003,2026-09-11
1998Q3,30434.8,2026-09-11
1998Q4,30719.7,2026-09-11
1999Q1,31079.5,2026-09-11
1999Q2,31477,2026-09-11
1999Q3,31930.3,2026-09-11
1999Q4,32293.7,2026-09-11
2000Q1,32015.5,2026-09-11
2000Q2,31496.5,2026-09-11
2000Q3,31731.4,2026-09-11
2000Q4,32027.2,2026-09-11
2001Q1,33103,2026-09-11
2001Q2,32989.6,2026-09-11
2001Q3,34259.3,2026-09-11
2001Q4,34532.6,2026-09-11
2002Q1,35529.2,2026-09-11
2002Q2,35696.3,2026-09-11
2002Q3,35614.5,2026-09-11
2002Q4,36622.4,2026-09-11
2003Q1,37100.9,2026-09-11
2003Q2,37251.9,2026-09-11
2003Q3,37726.1,2026-09-11
2003Q4,38475.4,2026-09-11
2004Q1,38530.4,2026-09-11
2004Q2,39178.7,2026-09-11
2004Q3,39586.6,2026-09-11
2004Q4,39943.1,2026-09-11
2005Q1,40414.6,2026-09-11
2005Q2,41059.6,2026-09-11
2005Q3,41975.5,2026-09-11
2005Q4,42335.1,2026-09-11
2006Q1,43476.1,2026-09-11
2006Q2,44147.3,2026-09-11
2006Q3,45012.6,2026-09-11
2006Q4,45651.7,2026-09-11
2007Q1,46506.6,2026-09-11
2007Q2,47085.9,2026-09-11
2007Q3,47400.2,2026-09-11
2007Q4,48467.6,2026-09-11
2008Q1,48471.3,2026-09-11
2008Q2,49018.2,2026-09-11
2008Q3,49724.4,2026-09-11
2008Q4,51180.6,2026-09-11
2009Q1,52047.3,2026-09-11
2009Q2,52874.8,2026-09-11
2009Q3,53322.9,2026-09-11
2009Q4,53346.8,2026-09-11
2010Q1,54833.7,2026-09-11
2010Q2,55491.3,2026-09-11
2010Q3,56268.7,2026-09-11
2010Q4,56961.8,2026-09-11
2011Q1,56591.5,2026-09-11
2011Q2,57102.8,2026-09-11
2011Q3,58003.2,2026-09-11
2011Q4,58359.5,2026-09-11
2012Q1,59781.5,2026-09-11
2012Q2,59691.4,2026-09-11
2012Q3,60352.7,2026-09-11
2012Q4,60946.2,2026-09-11
2013Q1,61966.4,2026-09-11
2013Q2,63126,2026-09-11
2013Q3,63260,2026-09-11
2013Q4,64147.6,2026-09-11
2014Q1,64769.1,2026-09-11
2014Q2,65403.5,2026-09-11
2014Q3,66094.1,2026-09-11
2014Q4,67189.9,2026-09-11
2015Q1,67606.2,2026-09-11
2015Q2,68391.4,2026-09-11
2015Q3,68251.3,2026-09-11
2015Q4,69505.3,2026-09-11
2016Q1,70884.7,2026-09-11
2016Q2,71274.6,2026-09-11
2016Q3,71490.3,2026-09-11
2016Q4,71844.9,2026-09-11
2017Q1,72593.9,2026-09-11
2017Q2,73585.6,2026-09-11
2017Q3,74879.4,2026-09-11
2017Q4,75043,2026-09-11
2018Q1,76570.9,2026-09-11
2018Q2,76888,2026-09-11
2018Q3,78444.7,2026-09-11
2018Q4,80325.3,2026-09-11
2019Q1,81052.3,2026-09-11
2019Q2,82182.5,2026-09-11
2019Q3,83745.4,2026-09-11
2019Q4,85278.4,2026-09-11
2020Q1,86798.7,2026-09-11
2020Q2,87348.3,2026-09-11
2020Q3,87972.9,2026-09-11
2020Q4,87466.3,2026-09-11
2021Q1,89137.7,2026-09-11
2021Q2,92010.5,2026-09-11
2021Q3,93563.3,2026-09-11
2021Q4,94582.3,2026-09-11
2022Q1,94809.2,2026-09-11
2022Q2,95562,2026-09-11
2022Q3,95827.2,2026-09-11
2022Q4,98037.3,2026-09-11
2023Q1,99097,2026-09-11
2023Q2,97097.3,2026-09-11
2023Q3,97587.1,2026-09-11
2023Q4,97896.1,2026-09-11
2024Q1,98951,2026-09-11
2024Q2,99687.1,2026-09-11
2024Q3,100701.7,2026-09-11
2024Q4,100955.1,2026-09-11
2025Q1,100967.5,2026-09-11
2025Q2,102142.8,2026-09-11
2025Q3,103586.8,2026-09-11
2025Q4,104603.3,2026-09-11
2026Q1,104134.4,2026-09-11
2026Q2,104267.3,2026-09-11
