TIME,DATA_VALUE,retrieved_at
1995Q1,114975.4,2026-09-11
1995Q2,117547.2,2026-09-11
1995Q3,119632,2026-09-11
1995Q4,122509.8,2026-09-11
1996Q1,124752.3,2026-09-11
1996Q2,127296.9,2026-09-11
1996Q3,127813.6,2026-09-11
1996Q4,132256.9,2026-09-11
1997Q1,131282.5,2026-09-11
1997Q2,133964.5,2026-09-11
1997Q3,135253.9,2026-09-11
1997Q4,133954.1,2026-09-11
1998Q1,115427,2026-09-11
1998Q2,115895.4,2026-09-11
1998Q3,118573.3,2026-09-11
1998Q4,121369.4,2026-09-11
1999Q1,125405.9,2026-09-11
1999Q2,129493.6,2026-09-11
1999Q3,134580.3,2026-09-11
1999Q4,139248.7,2026-09-11
2000Q1,141914,2026-09-11
2000Q2,143873.5,2026-09-11
2000Q3,144959.3,2026-09-11
2000Q4,145806.9,2026-09-11
2001Q1,146358.9,2026-09-11
2001Q2,151885.4,2026-09-11
2001Q3,154279.6,2026-09-11
2001Q4,157648.7,2026-09-11
2002Q1,163582.3,2026-09-11
2002Q2,166927.1,2026-09-11
2002Q3,167733,2026-09-11
2002Q4,167610.3,2026-09-11
2003Q1,166599.6,2026-09-11
2003Q2,165663.7,2026-09-11
2003Q3,166175.3,2026-09-11
2003Q4,166365,2026-09-11
2004Q1,166182.3,2026-09-11
2004Q2,166656.2,2026-09-11
2004Q3,166926.7,2026-09-11
2004Q4,168717.9,2026-09-11
2005Q1,170412.2,2026-09-11
2005Q2,174504.7,2026-09-11
2005Q3,176622.8,2026-09-11
2005Q4,178495.7,2026-09-11
2006Q1,180254.3,2026-09-11
2006Q2,182600.5,2026-09-11
2006Q3,184681.3,2026-09-11
2006Q4,187419.1,2026-09-11
2007Q1,189788.2,2026-09-11
2007Q2,192893.6,2026-09-11
2007Q3,195052.3,2026-09-11
2007Q4,197050.8,2026-09-11
2008Q1,199010.8,2026-09-11
2008Q2,198826.2,2026-09-11
2008Q3,198782.8,2026-09-11
2008Q4,191656.2,2026-09-11
2009Q1,190806.3,2026-09-11
2009Q2,197485.8,2026-09-11
2009Q3,199718.9,2026-09-11
2009Q4,201886.6,2026-09-11
2010Q1,203577.3,2026-09-11
2010Q2,205240.8,2026-09-11
2010Q3,207297.3,2026-09-11
2010Q4,209125.7,2026-09-11
2011Q1,211517.5,2026-09-11
2011Q2,213148.6,2026-09-11
2011Q3,212830.8,2026-09-11
2011Q4,213462.3,2026-09-11
2012Q1,214790.4,2026-09-11
2012Q2,215500,2026-09-11
2012Q3,217411.9,2026-09-11
2012Q4,218012.7,2026-09-11
2013Q1,217567.4,2026-09-11
2013Q2,219822.2,2026-09-11
2013Q3,221378.2,2026-09-11
2013Q4,222780.9,2026-09-11
2014Q1,224000,2026-09-11
2014Q2,224189.3,2026-09-11
2014Q3,225291,2026-09-11
2014Q4,226495.4,2026-09-11
2015Q1,228582.9,2026-09-11
2015Q2,229301.9,2026-09-11
2015Q3,230494.9,2026-09-11
2015Q4,234806.7,2026-09-11
2016Q1,235162,2026-09-11
2016Q2,237013.2,2026-09-11
2016Q3,238124.3,2026-09-11
2016Q4,238592,2026-09-11
2017Q1,240160.8,2026-09-11
2017Q2,243105.6,2026-09-11
2017Q3,245666.5,2026-09-11
2017Q4,247126.6,2026-09-11
2018Q1,250449.4,2026-09-11
2018Q2,251104.7,2026-09-11
2018Q3,252337.9,2026-09-11
2018Q4,254178.9,2026-09-11
2019Q1,255911.1,2026-09-11
2019Q2,256361.4,2026-09-11
2019Q3,258485.1,2026-09-11
2019Q4,261228.6,2026-09-11
2020Q1,245593.5,2026-09-11
2020Q2,245619.3,2026-09-11
2020Q3,247528.9,2026-09-11
2020Q4,245346.3,2026-09-11
2021Q1,247888.5,2026-09-11
2021Q2,255212.5,2026-09-11
2021Q3,256294.8,2026-09-11
2021Q4,261506.7,2026-09-11
2022Q1,258887.8,2026-09-11
2022Q2,266438.5,2026-09-11
2022Q3,269545.7,2026-09-11
2022Q4,269247.8,2026-09-11
2023Q1,271141,2026-09-11
2023Q2,271083.4,2026-09-11
2023Q3,271483.3,2026-09-11
2023Q4,272646.4,2026-09-11
2024Q1,274768.8,2026-09-11
2024Q2,274831.8,2026-09-11
2024Q3,275623.2,2026-09-11
2024Q4,275654.6,2026-09-11
2025Q1,276173.7,2026-09-11
2025Q2,277979.2,2026-09-11
2025Q3,281084.8,2026-09-11
2025Q4,282182.5,2026-09-11
2026Q1,283776,2026-09-11
2026Q2,284843.7,2026-09-11
