TIME,DATA_VALUE,retrieved_at
1995Q1,52026.3,2026-09-11
1995Q2,52633,2026-09-11
1995Q3,54204.3,2026-09-11
1995Q4,55863.4,2026-09-11
1996Q1,58176.4,2026-09-11
1996Q2,55543.4,2026-09-11
1996Q3,58342.5,2026-09-11
1996Q4,58494.9,2026-09-11
1997Q1,57634,2026-09-11
1997Q2,57965,2026-09-11
1997Q3,60231.2,2026-09-11
1997Q4,60706,2026-09-11
1998Q1,54835.8,2026-09-11
1998Q2,51205.6,2026-09-11
1998Q3,49773.8,2026-09-11
1998Q4,49477.8,2026-09-11
1999Q1,50129.1,2026-09-11
1999Q2,50558,2026-09-11
1999Q3,49722.5,2026-09-11
1999Q4,48627.8,2026-09-11
2000Q1,48942.7,2026-09-11
2000Q2,50857.4,2026-09-11
2000Q3,50312.4,2026-09-11
2000Q4,49007.5,2026-09-11
2001Q1,50139.7,2026-09-11
2001Q2,51836.8,2026-09-11
2001Q3,56268.1,2026-09-11
2001Q4,54129.4,2026-09-11
2002Q1,55532.3,2026-09-11
2002Q2,55738.5,2026-09-11
2002Q3,56308.1,2026-09-11
2002Q4,58992.5,2026-09-11
2003Q1,60603.4,2026-09-11
2003Q2,60368.6,2026-09-11
2003Q3,61724.9,2026-09-11
2003Q4,63904.7,2026-09-11
2004Q1,63312.8,2026-09-11
2004Q2,63272.4,2026-09-11
2004Q3,62605.4,2026-09-11
2004Q4,61926.5,2026-09-11
2005Q1,61823.1,2026-09-11
2005Q2,64367.7,2026-09-11
2005Q3,63287.1,2026-09-11
2005Q4,62352,2026-09-11
2006Q1,62917.4,2026-09-11
2006Q2,62133.7,2026-09-11
2006Q3,63357.5,2026-09-11
2006Q4,65923.5,2026-09-11
2007Q1,64677.3,2026-09-11
2007Q2,63346.9,2026-09-11
2007Q3,63199.6,2026-09-11
2007Q4,66757,2026-09-11
2008Q1,63325.9,2026-09-11
2008Q2,62768.1,2026-09-11
2008Q3,63133.1,2026-09-11
2008Q4,61865.3,2026-09-11
2009Q1,64165.7,2026-09-11
2009Q2,65731.1,2026-09-11
2009Q3,65039.1,2026-09-11
2009Q4,65151,2026-09-11
2010Q1,64893.8,2026-09-11
2010Q2,61579.8,2026-09-11
2010Q3,61264.1,2026-09-11
2010Q4,63437.1,2026-09-11
2011Q1,60929.9,2026-09-11
2011Q2,61054.8,2026-09-11
2011Q3,60654.6,2026-09-11
2011Q4,61415.2,2026-09-11
2012Q1,59767.2,2026-09-11
2012Q2,58534.7,2026-09-11
2012Q3,58553.9,2026-09-11
2012Q4,59237.3,2026-09-11
2013Q1,60981.8,2026-09-11
2013Q2,63865.1,2026-09-11
2013Q3,63114.4,2026-09-11
2013Q4,62988.8,2026-09-11
2014Q1,63332.5,2026-09-11
2014Q2,63931.4,2026-09-11
2014Q3,64258.9,2026-09-11
2014Q4,63437.7,2026-09-11
2015Q1,66059.9,2026-09-11
2015Q2,67710.5,2026-09-11
2015Q3,69788.3,2026-09-11
2015Q4,70425.4,2026-09-11
2016Q1,72766.6,2026-09-11
2016Q2,73996.4,2026-09-11
2016Q3,77244.5,2026-09-11
2016Q4,78321,2026-09-11
2017Q1,80297.7,2026-09-11
2017Q2,81014.6,2026-09-11
2017Q3,83179.4,2026-09-11
2017Q4,80875,2026-09-11
2018Q1,80817,2026-09-11
2018Q2,78595,2026-09-11
2018Q3,76287.4,2026-09-11
2018Q4,76091.5,2026-09-11
2019Q1,75422.1,2026-09-11
2019Q2,77241.8,2026-09-11
2019Q3,76025.4,2026-09-11
2019Q4,78976.7,2026-09-11
2020Q1,79519.6,2026-09-11
2020Q2,78565.8,2026-09-11
2020Q3,77149.2,2026-09-11
2020Q4,77736.5,2026-09-11
2021Q1,79260.8,2026-09-11
2021Q2,78478.1,2026-09-11
2021Q3,77000,2026-09-11
2021Q4,77519.5,2026-09-11
2022Q1,75409.3,2026-09-11
2022Q2,75011.9,2026-09-11
2022Q3,75401.3,2026-09-11
2022Q4,75535.3,2026-09-11
2023Q1,75562.7,2026-09-11
2023Q2,75222,2026-09-11
2023Q3,76044.9,2026-09-11
2023Q4,73163.1,2026-09-11
2024Q1,76712.5,2026-09-11
2024Q2,74948.9,2026-09-11
2024Q3,72371.1,2026-09-11
2024Q4,69869,2026-09-11
2025Q1,67061.1,2026-09-11
2025Q2,66589.2,2026-09-11
2025Q3,66737.4,2026-09-11
2025Q4,65008.5,2026-09-11
2026Q1,65898,2026-09-11
2026Q2,65837.6,2026-09-11
