TIME,DATA_VALUE,retrieved_at
1995Q1,20617.9,2026-09-11
1995Q2,20582.6,2026-09-11
1995Q3,21156.3,2026-09-11
1995Q4,19952.1,2026-09-11
1996Q1,21378.4,2026-09-11
1996Q2,21987.3,2026-09-11
1996Q3,23991,2026-09-11
1996Q4,23599.6,2026-09-11
1997Q1,22094.6,2026-09-11
1997Q2,22697.9,2026-09-11
1997Q3,21004.7,2026-09-11
1997Q4,18148,2026-09-11
1998Q1,13636,2026-09-11
1998Q2,12401.2,2026-09-11
1998Q3,12462.1,2026-09-11
1998Q4,13450.5,2026-09-11
1999Q1,14915.8,2026-09-11
1999Q2,16897.8,2026-09-11
1999Q3,18378.5,2026-09-11
1999Q4,20795.1,2026-09-11
2000Q1,23805.5,2026-09-11
2000Q2,24248.5,2026-09-11
2000Q3,25286.2,2026-09-11
2000Q4,23159.9,2026-09-11
2001Q1,23267.3,2026-09-11
2001Q2,22443.8,2026-09-11
2001Q3,22328,2026-09-11
2001Q4,22964,2026-09-11
2002Q1,24095.3,2026-09-11
2002Q2,24672.2,2026-09-11
2002Q3,24916.2,2026-09-11
2002Q4,25692.2,2026-09-11
2003Q1,25594.9,2026-09-11
2003Q2,25095.3,2026-09-11
2003Q3,24560.9,2026-09-11
2003Q4,25575.4,2026-09-11
2004Q1,25899.6,2026-09-11
2004Q2,26422.3,2026-09-11
2004Q3,26269.2,2026-09-11
2004Q4,26182.5,2026-09-11
2005Q1,26687.1,2026-09-11
2005Q2,26595.7,2026-09-11
2005Q3,27096.7,2026-09-11
2005Q4,28171.9,2026-09-11
2006Q1,27688.5,2026-09-11
2006Q2,29531.6,2026-09-11
2006Q3,30535.8,2026-09-11
2006Q4,30407.3,2026-09-11
2007Q1,31359.7,2026-09-11
2007Q2,32694.6,2026-09-11
2007Q3,31308,2026-09-11
2007Q4,34182.9,2026-09-11
2008Q1,34047.3,2026-09-11
2008Q2,32916.7,2026-09-11
2008Q3,33064.8,2026-09-11
2008Q4,29819.4,2026-09-11
2009Q1,28402.8,2026-09-11
2009Q2,28729.3,2026-09-11
2009Q3,31314.7,2026-09-11
2009Q4,32966.4,2026-09-11
2010Q1,36107.1,2026-09-11
2010Q2,37296.3,2026-09-11
2010Q3,37950,2026-09-11
2010Q4,39036.8,2026-09-11
2011Q1,38869.7,2026-09-11
2011Q2,40723.4,2026-09-11
2011Q3,39892.1,2026-09-11
2011Q4,40127.4,2026-09-11
2012Q1,43333.1,2026-09-11
2012Q2,40279.3,2026-09-11
2012Q3,38836.5,2026-09-11
2012Q4,38086.3,2026-09-11
2013Q1,38220.4,2026-09-11
2013Q2,38468,2026-09-11
2013Q3,38242.2,2026-09-11
2013Q4,38939,2026-09-11
2014Q1,39881.1,2026-09-11
2014Q2,40279.1,2026-09-11
2014Q3,40647.4,2026-09-11
2014Q4,41945.3,2026-09-11
2015Q1,42183.6,2026-09-11
2015Q2,42596.7,2026-09-11
2015Q3,43483.7,2026-09-11
2015Q4,42270.5,2026-09-11
2016Q1,41216.3,2026-09-11
2016Q2,43209.9,2026-09-11
2016Q3,44445.3,2026-09-11
2016Q4,46917.7,2026-09-11
2017Q1,49730.1,2026-09-11
2017Q2,51297.5,2026-09-11
2017Q3,52101,2026-09-11
2017Q4,49797.1,2026-09-11
2018Q1,53682.9,2026-09-11
2018Q2,48720.9,2026-09-11
2018Q3,47590.7,2026-09-11
2018Q4,48495.2,2026-09-11
2019Q1,46126,2026-09-11
2019Q2,46327.7,2026-09-11
2019Q3,46587,2026-09-11
2019Q4,47038.6,2026-09-11
2020Q1,47695.1,2026-09-11
2020Q2,47320.5,2026-09-11
2020Q3,49610.6,2026-09-11
2020Q4,49540,2026-09-11
2021Q1,54120.5,2026-09-11
2021Q2,55437,2026-09-11
2021Q3,52393.8,2026-09-11
2021Q4,51942.4,2026-09-11
2022Q1,51479.9,2026-09-11
2022Q2,52493.1,2026-09-11
2022Q3,54768.3,2026-09-11
2022Q4,54418.1,2026-09-11
2023Q1,53393.9,2026-09-11
2023Q2,54042.2,2026-09-11
2023Q3,51815,2026-09-11
2023Q4,53517.6,2026-09-11
2024Q1,52693.8,2026-09-11
2024Q2,52581.6,2026-09-11
2024Q3,54586.9,2026-09-11
2024Q4,55034.4,2026-09-11
2025Q1,55126.6,2026-09-11
2025Q2,54120.9,2026-09-11
2025Q3,54821,2026-09-11
2025Q4,53947.2,2026-09-11
2026Q1,57500.2,2026-09-11
2026Q2,57616.4,2026-09-11
