TIME,DATA_VALUE,retrieved_at
1995Q1,39428.3,2026-09-11
1995Q2,41300.8,2026-09-11
1995Q3,42500.2,2026-09-11
1995Q4,42680,2026-09-11
1996Q1,45191.8,2026-09-11
1996Q2,46423.8,2026-09-11
1996Q3,47655.8,2026-09-11
1996Q4,49559.7,2026-09-11
1997Q1,48214.2,2026-09-11
1997Q2,48496.7,2026-09-11
1997Q3,50099.6,2026-09-11
1997Q4,45413.6,2026-09-11
1998Q1,33890.4,2026-09-11
1998Q2,35535.2,2026-09-11
1998Q3,35814.7,2026-09-11
1998Q4,39724.4,2026-09-11
1999Q1,41227.7,2026-09-11
1999Q2,43968.9,2026-09-11
1999Q3,45749.4,2026-09-11
1999Q4,49683.2,2026-09-11
2000Q1,54526.4,2026-09-11
2000Q2,55124.4,2026-09-11
2000Q3,56649,2026-09-11
2000Q4,54856,2026-09-11
2001Q1,53724.8,2026-09-11
2001Q2,51983.4,2026-09-11
2001Q3,53596.2,2026-09-11
2001Q4,54088.6,2026-09-11
2002Q1,56188.4,2026-09-11
2002Q2,60219.9,2026-09-11
2002Q3,64007.6,2026-09-11
2002Q4,65278,2026-09-11
2003Q1,66154.6,2026-09-11
2003Q2,64606.4,2026-09-11
2003Q3,68152.2,2026-09-11
2003Q4,72832.7,2026-09-11
2004Q1,74613.4,2026-09-11
2004Q2,75368.4,2026-09-11
2004Q3,74780,2026-09-11
2004Q4,79626.6,2026-09-11
2005Q1,78081,2026-09-11
2005Q2,82206.7,2026-09-11
2005Q3,84048.5,2026-09-11
2005Q4,84346.3,2026-09-11
2006Q1,89899.9,2026-09-11
2006Q2,90618.4,2026-09-11
2006Q3,97266,2026-09-11
2006Q4,92358,2026-09-11
2007Q1,99569.4,2026-09-11
2007Q2,104472.1,2026-09-11
2007Q3,102522.1,2026-09-11
2007Q4,106115.2,2026-09-11
2008Q1,109718.7,2026-09-11
2008Q2,109292.1,2026-09-11
2008Q3,112543.2,2026-09-11
2008Q4,94970.2,2026-09-11
2009Q1,88880.1,2026-09-11
2009Q2,96347.6,2026-09-11
2009Q3,104679.6,2026-09-11
2009Q4,108441.1,2026-09-11
2010Q1,110999.3,2026-09-11
2010Q2,115541.4,2026-09-11
2010Q3,118438.3,2026-09-11
2010Q4,124338.7,2026-09-11
2011Q1,130960.6,2026-09-11
2011Q2,139048.3,2026-09-11
2011Q3,133067.5,2026-09-11
2011Q4,134645,2026-09-11
2012Q1,138362.9,2026-09-11
2012Q2,137701.2,2026-09-11
2012Q3,138764.1,2026-09-11
2012Q4,137010.9,2026-09-11
2013Q1,138440.4,2026-09-11
2013Q2,139543.3,2026-09-11
2013Q3,140659.4,2026-09-11
2013Q4,143444.8,2026-09-11
2014Q1,141887.8,2026-09-11
2014Q2,142510.3,2026-09-11
2014Q3,142563.7,2026-09-11
2014Q4,142809.8,2026-09-11
2015Q1,143066.2,2026-09-11
2015Q2,143249.1,2026-09-11
2015Q3,145030,2026-09-11
2015Q4,149494.1,2026-09-11
2016Q1,148020.1,2026-09-11
2016Q2,152715.3,2026-09-11
2016Q3,156222.1,2026-09-11
2016Q4,155412.6,2026-09-11
2017Q1,164810.5,2026-09-11
2017Q2,164879.4,2026-09-11
2017Q3,168465.3,2026-09-11
2017Q4,162726,2026-09-11
2018Q1,170279.6,2026-09-11
2018Q2,168453,2026-09-11
2018Q3,165350.2,2026-09-11
2018Q4,167616.9,2026-09-11
2019Q1,160184.3,2026-09-11
2019Q2,166407.3,2026-09-11
2019Q3,165711.8,2026-09-11
2019Q4,165833,2026-09-11
2020Q1,161130.3,2026-09-11
2020Q2,152902.9,2026-09-11
2020Q3,160501,2026-09-11
2020Q4,162144.5,2026-09-11
2021Q1,171345.2,2026-09-11
2021Q2,179314.7,2026-09-11
2021Q3,175226.1,2026-09-11
2021Q4,182163.9,2026-09-11
2022Q1,180236.5,2026-09-11
2022Q2,182469.5,2026-09-11
2022Q3,188427.5,2026-09-11
2022Q4,185133,2026-09-11
2023Q1,191799.4,2026-09-11
2023Q2,185493.9,2026-09-11
2023Q3,185079.7,2026-09-11
2023Q4,189992,2026-09-11
2024Q1,192620.8,2026-09-11
2024Q2,194862.4,2026-09-11
2024Q3,196489.9,2026-09-11
2024Q4,196817,2026-09-11
2025Q1,195774.9,2026-09-11
2025Q2,201626,2026-09-11
2025Q3,204946.5,2026-09-11
2025Q4,204563.6,2026-09-11
2026Q1,212498.7,2026-09-11
2026Q2,214067.2,2026-09-11
