TIME,DATA_VALUE,retrieved_at
1970Q1,18254.5,2026-09-11
1970Q2,19063.7,2026-09-11
1970Q3,19213.8,2026-09-11
1970Q4,20598.7,2026-09-11
1971Q1,20739.9,2026-09-11
1971Q2,21485.5,2026-09-11
1971Q3,21525.4,2026-09-11
1971Q4,21595.4,2026-09-11
1972Q1,22003.9,2026-09-11
1972Q2,22679.3,2026-09-11
1972Q3,23012.1,2026-09-11
1972Q4,23912.6,2026-09-11
1973Q1,24863.1,2026-09-11
1973Q2,25899.4,2026-09-11
1973Q3,27124.3,2026-09-11
1973Q4,27439.2,2026-09-11
1974Q1,28845.8,2026-09-11
1974Q2,28663.4,2026-09-11
1974Q3,29042.4,2026-09-11
1974Q4,28937.1,2026-09-11
1975Q1,29533.3,2026-09-11
1975Q2,30780,2026-09-11
1975Q3,31660.5,2026-09-11
1975Q4,32674.9,2026-09-11
1976Q1,33709.8,2026-09-11
1976Q2,35174.8,2026-09-11
1976Q3,35942.9,2026-09-11
1976Q4,36353.6,2026-09-11
1977Q1,36753.8,2026-09-11
1977Q2,38566.5,2026-09-11
1977Q3,40925.7,2026-09-11
1977Q4,42409.5,2026-09-11
1978Q1,42149.4,2026-09-11
1978Q2,43433.8,2026-09-11
1978Q3,44285.5,2026-09-11
1978Q4,46349.2,2026-09-11
1979Q1,48541.2,2026-09-11
1979Q2,48849.1,2026-09-11
1979Q3,47467,2026-09-11
1979Q4,46756.5,2026-09-11
1980Q1,47272,2026-09-11
1980Q2,46962.7,2026-09-11
1980Q3,47827,2026-09-11
1980Q4,46631.4,2026-09-11
1981Q1,48571,2026-09-11
1981Q2,49711.8,2026-09-11
1981Q3,51715.6,2026-09-11
1981Q4,52665.2,2026-09-11
1982Q1,53051.2,2026-09-11
1982Q2,54194.6,2026-09-11
1982Q3,55298.9,2026-09-11
1982Q4,57281,2026-09-11
1983Q1,59706.7,2026-09-11
1983Q2,61414.5,2026-09-11
1983Q3,63773.5,2026-09-11
1983Q4,64534.4,2026-09-11
1984Q1,67142.5,2026-09-11
1984Q2,68657,2026-09-11
1984Q3,69809.8,2026-09-11
1984Q4,70350.7,2026-09-11
1985Q1,72078.9,2026-09-11
1985Q2,73807.7,2026-09-11
1985Q3,74802.2,2026-09-11
1985Q4,77179.1,2026-09-11
1986Q1,78418.9,2026-09-11
1986Q2,81654.7,2026-09-11
