TIME,DATA_VALUE,retrieved_at
1995Q1,24423,2026-09-11
1995Q2,25781.6,2026-09-11
1995Q3,26581.1,2026-09-11
1995Q4,27044.5,2026-09-11
1996Q1,28716.5,2026-09-11
1996Q2,27284.4,2026-09-11
1996Q3,27951.8,2026-09-11
1996Q4,29686.5,2026-09-11
1997Q1,30607.2,2026-09-11
1997Q2,33831.3,2026-09-11
1997Q3,35112,2026-09-11
1997Q4,35129.8,2026-09-11
1998Q1,38688,2026-09-11
1998Q2,38591.8,2026-09-11
1998Q3,37992.6,2026-09-11
1998Q4,39210.3,2026-09-11
1999Q1,40321.4,2026-09-11
1999Q2,42740.2,2026-09-11
1999Q3,43661.2,2026-09-11
1999Q4,46577.1,2026-09-11
2000Q1,47903.5,2026-09-11
2000Q2,50258.3,2026-09-11
2000Q3,53094.7,2026-09-11
2000Q4,51577.6,2026-09-11
2001Q1,51582.2,2026-09-11
2001Q2,49585.4,2026-09-11
2001Q3,49460.3,2026-09-11
2001Q4,48780.5,2026-09-11
2002Q1,52007,2026-09-11
2002Q2,54845.9,2026-09-11
2002Q3,58035.1,2026-09-11
2002Q4,59003.8,2026-09-11
2003Q1,59105.2,2026-09-11
2003Q2,59842.6,2026-09-11
2003Q3,64011,2026-09-11
2003Q4,71031.1,2026-09-11
2004Q1,75646.3,2026-09-11
2004Q2,77382.3,2026-09-11
2004Q3,76893,2026-09-11
2004Q4,78525.2,2026-09-11
2005Q1,79120.4,2026-09-11
2005Q2,81724.4,2026-09-11
2005Q3,84095.6,2026-09-11
2005Q4,87257.3,2026-09-11
2006Q1,89704.4,2026-09-11
2006Q2,93158.1,2026-09-11
2006Q3,95834.7,2026-09-11
2006Q4,94720.5,2026-09-11
2007Q1,100627.7,2026-09-11
2007Q2,104246.2,2026-09-11
2007Q3,105618.4,2026-09-11
2007Q4,111601.8,2026-09-11
2008Q1,113632.9,2026-09-11
2008Q2,113750.3,2026-09-11
2008Q3,115656.8,2026-09-11
2008Q4,112287.8,2026-09-11
2009Q1,110255.1,2026-09-11
2009Q2,109598.1,2026-09-11
2009Q3,114149.1,2026-09-11
2009Q4,118704.6,2026-09-11
2010Q1,117490.5,2026-09-11
2010Q2,129657.3,2026-09-11
2010Q3,129281.9,2026-09-11
2010Q4,135452.8,2026-09-11
2011Q1,144355.3,2026-09-11
2011Q2,146516.4,2026-09-11
2011Q3,149649.9,2026-09-11
2011Q4,150991.2,2026-09-11
2012Q1,151673.2,2026-09-11
2012Q2,155110,2026-09-11
2012Q3,159510.4,2026-09-11
2012Q4,160923.1,2026-09-11
2013Q1,160896.4,2026-09-11
2013Q2,163517.4,2026-09-11
2013Q3,162937.4,2026-09-11
2013Q4,164846.6,2026-09-11
2014Q1,166415,2026-09-11
2014Q2,167950.5,2026-09-11
2014Q3,165334.5,2026-09-11
2014Q4,166268.4,2026-09-11
2015Q1,166439.4,2026-09-11
2015Q2,166091.7,2026-09-11
2015Q3,164924.7,2026-09-11
2015Q4,168484.2,2026-09-11
2016Q1,169725.9,2026-09-11
2016Q2,171478,2026-09-11
2016Q3,170332,2026-09-11
2016Q4,170728.3,2026-09-11
2017Q1,175789.4,2026-09-11
2017Q2,173269.8,2026-09-11
2017Q3,179695.1,2026-09-11
2017Q4,170506.2,2026-09-11
2018Q1,176138.7,2026-09-11
2018Q2,180739.8,2026-09-11
2018Q3,185465.6,2026-09-11
2018Q4,183469,2026-09-11
2019Q1,173615.1,2026-09-11
2019Q2,180200.1,2026-09-11
2019Q3,184667.4,2026-09-11
2019Q4,186118.3,2026-09-11
2020Q1,183288.8,2026-09-11
2020Q2,157940.6,2026-09-11
2020Q3,181473.4,2026-09-11
2020Q4,189839.5,2026-09-11
2021Q1,197143.9,2026-09-11
2021Q2,198689.6,2026-09-11
2021Q3,196721.7,2026-09-11
2021Q4,203984.7,2026-09-11
2022Q1,211252.4,2026-09-11
2022Q2,208450.6,2026-09-11
2022Q3,207128.2,2026-09-11
2022Q4,201390.1,2026-09-11
2023Q1,206657.5,2026-09-11
2023Q2,209948.5,2026-09-11
2023Q3,216133.4,2026-09-11
2023Q4,224536,2026-09-11
2024Q1,227487.2,2026-09-11
2024Q2,230560.4,2026-09-11
2024Q3,230969.1,2026-09-11
2024Q4,233095.4,2026-09-11
2025Q1,230971.7,2026-09-11
2025Q2,240367.7,2026-09-11
2025Q3,246737.4,2026-09-11
2025Q4,243915.9,2026-09-11
2026Q1,258277.1,2026-09-11
2026Q2,261733.8,2026-09-11
