TIME,DATA_VALUE,retrieved_at
20001218,7.15,2026-09-11
20001219,7.2,2026-09-11
20001220,7.2,2026-09-11
20001221,7.24,2026-09-11
20001222,7.24,2026-09-11
20001226,7.25,2026-09-11
20001227,7.3,2026-09-11
20001228,7.26,2026-09-11
20001229,7.21,2026-09-11
20010102,7.18,2026-09-11
20010103,7.15,2026-09-11
20010104,6.85,2026-09-11
20010105,6.68,2026-09-11
20010108,6.6,2026-09-11
20010109,6.68,2026-09-11
20010110,6.69,2026-09-11
20010111,6.57,2026-09-11
20010112,6.6,2026-09-11
20010115,6.61,2026-09-11
20010116,6.6,2026-09-11
20010117,6.58,2026-09-11
20010118,6.53,2026-09-11
20010119,6.54,2026-09-11
20010122,6.54,2026-09-11
20010126,6.55,2026-09-11
20010129,6.55,2026-09-11
20010130,6.55,2026-09-11
20010131,6.54,2026-09-11
20010201,6.54,2026-09-11
20010202,6.48,2026-09-11
20010205,6.46,2026-09-11
20010206,6.42,2026-09-11
20010207,6.29,2026-09-11
20010208,6.27,2026-09-11
20010209,6.13,2026-09-11
20010212,5.93,2026-09-11
20010213,5.98,2026-09-11
20010214,6.03,2026-09-11
20010215,6.01,2026-09-11
20010216,6.1,2026-09-11
20010219,6.25,2026-09-11
20010220,6.23,2026-09-11
20010221,6.62,2026-09-11
20010222,6.75,2026-09-11
20010223,7.08,2026-09-11
20010226,6.99,2026-09-11
20010227,6.89,2026-09-11
20010228,6.49,2026-09-11
20010302,6.55,2026-09-11
20010305,6.58,2026-09-11
20010306,6.76,2026-09-11
20010307,7.01,2026-09-11
20010308,7.21,2026-09-11
20010309,7.03,2026-09-11
20010312,7.12,2026-09-11
20010313,7.12,2026-09-11
20010314,6.88,2026-09-11
20010315,6.75,2026-09-11
20010316,6.84,2026-09-11
20010319,6.9,2026-09-11
20010320,6.91,2026-09-11
20010321,7.05,2026-09-11
20010322,7.15,2026-09-11
20010323,7.09,2026-09-11
20010326,7.01,2026-09-11
20010327,7.02,2026-09-11
20010328,7.15,2026-09-11
20010329,7.32,2026-09-11
20010330,7.51,2026-09-11
20010402,7.76,2026-09-11
20010403,7.62,2026-09-11
20010404,7.82,2026-09-11
20010406,7.76,2026-09-11
20010409,7.72,2026-09-11
20010410,7.67,2026-09-11
20010411,7.63,2026-09-11
20010412,7.63,2026-09-11
20010413,7.62,2026-09-11
20010416,7.64,2026-09-11
20010417,7.63,2026-09-11
20010418,7.66,2026-09-11
20010419,7.66,2026-09-11
20010420,7.7,2026-09-11
20010423,7.82,2026-09-11
20010424,7.83,2026-09-11
20010425,7.85,2026-09-11
20010426,7.95,2026-09-11
20010427,7.9,2026-09-11
20010430,7.85,2026-09-11
20010502,7.64,2026-09-11
20010503,7.6,2026-09-11
20010504,7.58,2026-09-11
20010507,7.64,2026-09-11
20010508,7.63,2026-09-11
20010509,7.57,2026-09-11
20010510,7.57,2026-09-11
20010511,7.59,2026-09-11
20010514,7.65,2026-09-11
20010515,7.72,2026-09-11
20010516,7.73,2026-09-11
20010517,7.72,2026-09-11
20010518,7.7,2026-09-11
20010521,7.64,2026-09-11
20010522,7.62,2026-09-11
20010523,7.6,2026-09-11
20010524,7.51,2026-09-11
20010525,7.51,2026-09-11
20010528,7.4,2026-09-11
20010529,7.38,2026-09-11
20010530,7.29,2026-09-11
20010531,7.29,2026-09-11
20010601,7.28,2026-09-11
20010604,7.26,2026-09-11
20010605,7.34,2026-09-11
20010607,7.34,2026-09-11
20010608,7.25,2026-09-11
20010611,7.26,2026-09-11
20010612,7.28,2026-09-11
20010613,7.26,2026-09-11
20010614,7.24,2026-09-11
20010615,7.23,2026-09-11
20010618,7.39,2026-09-11
20010619,7.36,2026-09-11
20010620,7.16,2026-09-11
20010621,7.07,2026-09-11
