date,mr_face_total,mr_face_short,mr_face_long,mr_margin,mr_dv01,sl_face_3Y,sl_dv01_3Y,sl_face_10Y,sl_dv01_10Y,sl_face_net,sl_gross_trend,sl_gross_cycle,sl_gross_policy,sl_gross_trade,sl_gross_risk,sl_face_gross,sl_margin,sl_dv01,total_margin
2020-01-02,0,0,0,0,0,2633001819,789901,44910507,44911,2677912326,2676226328,1139219500,1138299021,1138299021,1137533503,7229577374,133895616,834811,133895616
2020-01-03,0,0,0,0,0,2540440633,762132,121011446,121011,2661452079,2660058143,1122543229,1122846889,1122846889,1121149293,7149444442,133072604,883144,133072604
2020-01-06,0,0,0,0,0,2286462004,685939,267733378,267733,2554195382,2554195382,0,0,0,0,2554195382,127709769,953672,127709769
2020-01-07,0,0,0,0,0,2010817331,603245,359352148,359352,2370169479,2369270052,1085487965,1086240391,1086240391,1084588538,6711827337,118508474,962597,118508474
2020-01-08,0,0,0,0,0,2167512112,650254,372189865,372190,2539701977,2538298727,1082532112,1082734007,1082734007,1081128862,6867427714,126985099,1022443,126985099
2020-01-09,0,0,0,0,0,2039943524,611983,285997394,285997,2325940919,2323902629,1036688913,1035242600,1035242600,1034650624,6465727366,116297046,897980,116297046
2020-01-10,0,0,0,0,0,1688618765,506586,171659269,171659,1860278034,1858138595,1033914823,1031943372,1031943372,1031775384,5987715546,93013902,678245,93013902
2020-01-13,0,0,0,0,0,927229339,278169,76126871,76127,1003356210,1002359665,1077006838,1075949670,1075949670,1076010293,5307276137,50167810,354296,50167810
2020-01-14,0,0,0,0,0,1026791324,308037,173599509,173600,1200390833,1199885944,1071682648,1070993955,1070993955,1071177759,5484734262,60019542,481637,60019542
2020-01-15,0,0,0,0,0,824231280,247269,182786986,182787,1007018266,1006845687,1085957814,1085456663,1085456663,1085785236,5349502064,50350913,430056,50350913
2020-01-16,0,0,0,0,0,523070916,156921,84582948,-84583,607653864,607198482,1089017336,1088134901,1088134901,1088261083,4960746704,30382693,241504,30382693
2020-01-17,0,0,0,0,0,15014801,-4504,148552566,-148553,163567368,164412943,1083524358,1082715014,1082715014,1082678783,4496046113,8178368,153057,8178368
2020-01-20,0,0,0,0,0,255995688,-76799,259306935,-259307,515302623,515779409,1088442974,1088525006,1088525006,1087966189,4869238583,25765131,336106,25765131
2020-01-21,0,0,0,0,0,514441311,-154332,409101326,-409101,923542638,923275615,1054339763,1054253061,1054253061,1054606785,5140728286,46177132,563434,46177132
2020-01-22,0,0,0,0,0,992980982,-297894,470821995,-470822,1463802977,1464294841,1094151413,1093919120,1093919120,1093659550,5839944045,73190149,768716,73190149
2020-01-23,0,0,0,0,0,1982860557,-594858,507187123,-507187,2490047680,2489933603,1092391953,1092327244,1092327244,1092506031,6859486075,124502384,1102045,124502384
2020-01-28,0,0,0,0,0,1905008351,-571503,391465603,-391466,2296473954,2294700756,1004148264,1004165461,1004165461,1005921462,6313101403,114823698,962968,114823698
2020-01-29,0,0,0,0,0,1699498790,-509850,303516499,-303516,2003015289,2001283964,1000008962,1000008962,1000008962,1001740287,6003051135,100150764,813366,100150764
2020-01-30,0,0,0,0,0,160008726,48003,328130742,328131,488139468,1564440383,1024255850,1024255850,1024255850,1028324001,5665531934,24406973,376133,24406973
2020-01-31,0,0,0,0,0,1243783445,373135,335052895,335053,1578836341,758673796,1164308502,1164308502,1164308502,1173201635,5424800938,78941817,708188,78941817
2020-02-03,0,0,0,0,0,897724181,269317,295086079,295086,1192810260,1135675377,1159956324,1159956324,1159956324,1168529314,5784073663,59640513,564403,59640513
2020-02-04,0,0,0,0,0,928498759,278550,383342605,383343,1311841365,938939914,1120303500,1120303500,1120303500,1130477779,5430328194,65592068,661892,65592068
2020-02-05,0,0,0,0,0,1805206152,541562,540666238,540666,2345872390,207208649,1157144036,1157144036,1157144036,1166996425,4845637183,117293619,1082228,117293619
2020-02-06,0,0,0,0,0,4462068768,1338621,654480688,654481,5116549456,2772610119,1167094564,1167094564,1167094564,1176844773,7450738584,255827473,1993101,255827473
2020-02-07,0,0,0,0,0,4877703708,1463311,919029296,919029,5796733004,3475508772,1156419459,1156419459,1156419459,1164804773,8109571922,289836650,2382340,289836650
2020-02-10,0,0,0,0,0,5116607811,1534982,966200941,966201,6082808752,3729771838,1171781869,1171781869,1171781869,1181255045,8426372489,304140438,2501183,304140438
2020-02-11,0,0,0,0,0,5451709387,1635513,1026919646,1026920,6478629033,4076344040,1196648016,1196648016,1196648016,1205636977,8871925065,323931452,2662432,323931452
2020-02-12,0,0,0,0,0,4004539721,1201362,674240630,674241,4678780351,4690543605,1217609450,1217609450,1217609450,1229372705,9572744660,233939018,1875603,233939018
2020-02-13,0,0,0,0,0,4145732234,1243720,691660186,691660,4837392420,4849765068,1215402178,1215402178,1215402178,1227774826,9723746428,241869621,1935380,241869621
2020-02-14,0,0,0,0,0,3985167274,1195550,676533655,676534,4661700929,4668903508,1159069200,1159069200,1159069200,1166271779,9312382887,233085046,1872084,233085046
2020-02-17,0,0,0,0,0,4683494461,1405048,826806495,826806,5510300956,5517875115,1190287942,1190287942,1190287942,1197862101,10286601043,275515048,2231855,275515048
2020-02-18,0,0,0,0,0,7201048127,2160314,1438617029,1438617,8639665157,6284544595,1171592426,1171592426,1171592426,1183528136,10982850009,431983258,3598931,431983258
2020-02-19,0,0,0,0,0,7633637755,2290091,1574573078,1574573,9208210833,6829806313,1183731803,1183731803,1183731803,1194672718,11575674439,460410542,3864664,460410542
2020-02-20,0,0,0,0,0,8224022740,2467207,1769428527,1769429,9993451267,7623619670,1179162240,1179162240,1179162240,1190669357,12351775746,499672563,4236635,499672563
2020-02-21,0,0,0,0,0,8400368122,2520110,1899441843,1899442,10299809965,8031086010,1130834317,1130834317,1130834317,1137889637,12561478599,514990498,4419552,514990498
2020-02-24,0,0,0,0,0,8422058239,2526617,1946930227,1946930,10368988465,8153950416,1104691962,1104691962,1104691962,1110346087,12578372389,518449423,4473548,518449423
2020-02-25,0,0,0,0,0,11966759776,3590028,1965235067,1965235,13931994842,11738243143,1093645345,1093645345,1093645345,1100106354,16119285533,696599742,5555263,696599742
2020-02-26,0,0,0,0,0,11322205695,3396662,2883498020,2883498,14205703715,12044495309,1078603490,1078603490,1078603490,1082604915,16362910695,710285186,6280160,710285186
2020-02-27,0,0,0,0,0,10045623414,3013687,2636810425,2636810,12682433839,10612290855,1033002456,1033002456,1033002456,1037140529,14748438750,634121692,5650497,634121692
