,pv01_3Y,pv01_10Y,dv01_3Y,dv01_10Y,face_3Y,face_10Y,face_total,margin
2017-01-06,29266,91619,0,0,0,0,0,0
2017-01-09,29261,91502,0,0,0,0,0,0
2017-01-10,29267,91664,0,0,0,0,0,0
2017-01-11,29265,91637,0,0,0,0,0,0
2017-01-12,29281,91908,0,0,0,0,0,0
2017-01-13,29275,91804,0,0,0,0,0,0
2017-01-16,29268,91696,0,0,0,0,0,0
2017-01-17,29270,91730,0,0,0,0,0,0
2017-01-18,29263,91631,0,0,0,0,0,0
2017-01-19,29253,91451,0,0,0,0,0,0
2017-01-20,29265,91643,0,0,0,0,0,0
2017-01-23,29264,91632,0,0,0,0,0,0
2017-01-24,29268,91697,0,0,0,0,0,0
2017-01-25,29259,91562,0,0,0,0,0,0
2017-01-26,29241,91311,0,0,0,0,0,0
2017-01-31,29248,91433,0,0,0,0,0,0
2017-02-01,29243,91362,0,0,0,0,0,0
2017-02-02,29246,91388,0,0,0,0,0,0
2017-02-03,29241,91303,0,0,0,0,0,0
2017-02-06,29248,91384,0,0,0,0,0,0
2017-02-07,29254,91457,0,0,0,0,0,0
2017-02-08,29258,91522,0,0,0,0,0,0
2017-02-09,29250,91429,0,0,0,0,0,0
2017-02-10,29249,91463,0,0,0,0,0,0
2017-02-13,29246,91465,0,0,0,0,0,0
2017-02-14,29247,91501,0,0,0,0,0,0
2017-02-15,29239,91415,0,0,0,0,0,0
2017-02-16,29241,91441,0,0,0,0,0,0
2017-02-17,29243,91450,0,0,0,0,0,0
2017-02-20,29238,91312,0,0,0,0,0,0
2017-02-21,29239,91307,0,0,0,0,0,0
2017-02-22,29230,91189,0,0,0,0,0,0
2017-02-23,29239,91323,0,0,0,0,0,0
2017-02-24,29238,91353,0,0,0,0,0,0
2017-02-27,29237,91393,0,0,0,0,0,0
2017-02-28,29237,91385,0,0,0,0,0,0
2017-03-02,29223,91185,0,0,0,0,0,0
2017-03-03,29225,91188,0,0,0,0,0,0
2017-03-06,29219,91103,0,0,0,0,0,0
2017-03-07,29200,90851,0,0,0,0,0,0
2017-03-08,29206,90950,0,0,0,0,0,0
2017-03-09,29204,90874,0,0,0,0,0,0
2017-03-10,29210,90882,0,0,0,0,0,0
2017-03-13,29214,90927,0,0,0,0,0,0
2017-03-14,29214,90917,0,0,0,0,0,0
2017-03-15,29214,90967,0,0,0,0,0,0
2017-03-16,29231,91286,0,0,0,0,0,0
2017-03-17,29232,91293,0,0,0,0,0,0
2017-03-20,29229,91246,0,0,0,0,0,0
2017-03-21,29229,91237,0,0,0,0,0,0
2017-03-22,29236,91389,0,0,0,0,0,0
2017-03-23,29236,91384,0,0,0,0,0,0
2017-03-24,29230,91263,0,0,0,0,0,0
2017-03-27,29240,91430,0,0,0,0,0,0
2017-03-28,29234,91389,0,0,0,0,0,0
2017-03-29,29242,91420,0,0,0,0,0,0
2017-03-30,29242,91360,0,0,0,0,0,0
2017-03-31,29239,91326,0,0,0,0,0,0
2017-04-03,29242,91367,0,0,0,0,0,0
2017-04-04,29251,91517,0,0,0,0,0,0
2017-04-05,29251,91485,0,0,0,0,0,0
2017-04-06,29241,91316,0,0,0,0,0,0
2017-04-07,29247,91381,0,0,0,0,0,0
2017-04-10,29240,91274,0,0,0,0,0,0
2017-04-11,29252,91463,0,0,0,0,0,0
2017-04-12,29255,91471,0,0,0,0,0,0
2017-04-13,29260,91573,0,0,0,0,0,0
2017-04-14,29256,91540,0,0,0,0,0,0
2017-04-17,29260,91620,0,0,0,0,0,0
2017-04-18,29260,91633,0,0,0,0,0,0
2017-04-19,29263,91730,0,0,0,0,0,0
2017-04-20,29262,91746,1789575,1479858,6115795063,1613000219,7728795282,386439764
2017-04-21,29253,91603,1652230,1491445,5648127033,1628163081,7276290114,363814506
2017-04-24,29241,91433,1543144,1395971,5277251058,1526769434,6804020491,340201025
2017-04-25,29242,91425,1246109,1325068,4261355057,1449342764,5710697822,285534891
2017-04-26,29241,91373,194859,1189358,666386482,1301657531,1968044013,98402201
2017-04-27,29245,91397,443175,476326,1515409779,521160323,2036570102,101828505
2017-04-28,29245,91407,730208,637863,2496883495,697827642,3194711137,159735557
2017-05-02,29238,91269,393181,705549,1344744449,773044549,2117788997,105889450
2017-05-04,29245,91364,371493,659398,1270291478,721729520,1992020998,99601050
2017-05-08,29238,91257,287260,553808,982482503,606863715,1589346218,79467311
2017-05-10,29225,91042,-2373317,-1091872,8120814041,1199305833,9320119874,466005994
2017-05-11,29229,91072,-2252388,-1139824,7705920317,1251566117,8957486434,447874322
2017-05-12,29239,91197,-1938196,-1117948,6628826102,1225864781,7854690882,392734544
2017-05-15,29240,91191,-1666433,-980595,5699114257,1075317140,6774431397,338721570
2017-05-16,29242,91217,-1407269,-1163509,4812482795,1275537675,6088020470,304401023
2017-05-17,29255,91434,-1291387,-1892905,4414314711,2070236721,6484551431,324227572
2017-05-18,29254,91413,-2857512,-1979057,9768005510,2164951793,11932957303,596647865
2017-05-19,29261,91569,746607,-1855792,2551501384,2026668815,4578170199,228908510
2017-05-22,29255,91467,537105,-900556,1835914112,984569912,2820484024,141024201
2017-05-23,29260,91551,338462,-1113351,1156736851,1216104209,2372841059,118642053
2017-05-24,29254,91477,694164,-1309330,2372870809,1431313266,3804184075,190209204
2017-05-25,29257,91547,1190949,-1177135,4070580675,1285821951,5356402625,267820131
2017-05-26,29257,91524,1307662,-677241,4469539377,739961237,5209500614,260475031
2017-05-29,29253,91417,1447166,848934,4947149814,928639336,5875789149,293789457
2017-05-30,29256,91477,1536019,971148,5250317990,1061632384,6311950375,315597519
2017-05-31,29253,91456,1754527,1107763,5997697016,1211254647,7208951662,360447583
2017-06-01,29262,91553,1784721,1213692,6099166463,1325674252,7424840714,371242036
2017-06-02,29264,91577,1745067,1191013,5963109942,1300552773,7263662715,363183136
2017-06-05,29270,91689,1887084,1074090,6447200444,1171449907,7618650352,380932518
2017-06-07,29271,91752,2087981,1092039,7133363351,1190213145,8323576496,416178825
2017-06-08,29266,91689,2139749,1100875,7311359850,1200655995,8512015845,425600792
2017-06-09,29266,91687,2255161,1118654,7705812915,1220076912,8925889827,446294491
2017-06-12,29248,91479,1694300,860042,5792919021,940156915,6733075936,336653797
2017-06-13,29255,91608,1395043,826702,4768589177,902432656,5671021833,283551092
2017-06-14,29251,91634,1043038,859365,3565781161,937823417,4503604579,225180229
2017-06-15,29253,91762,448940,1087661,1534676540,1185309438,2719985978,135999299
2017-06-16,29245,91618,607798,1158669,2078300864,1264678442,3342979306,167148965
2017-06-19,29247,91643,538485,1299658,1841178135,1418168347,3259346482,162967324
2017-06-20,29245,91614,300070,1436359,1026062535,1567835030,2593897565,129694878
2017-06-21,29241,91614,176159,1638918,602428413,1788930108,2391358522,119567926
2017-06-22,29239,91635,-47176,1696112,161343399,1850937344,2012280743,100614037
2017-06-23,29240,91633,-2218878,1746464,7588394625,1905931473,9494326099,474716305
2017-06-26,29239,91638,-2426530,1854579,8298980217,2023807751,10322787968,516139398
2017-06-27,29240,91655,-2825913,1865854,9664665422,2035740729,11700406150,585020308
2017-06-28,29227,91414,-2703442,1434133,9249892986,1568837926,10818730911,540936546
2017-06-29,29228,91381,-2600933,882316,8898889267,965540758,9864430025,493221501
2017-06-30,29227,91278,-2646100,692017,9053509779,758140788,9811650567,490582528
2017-07-03,29224,91207,-2910410,335203,9958953506,367517258,10326470764,516323538
2017-07-04,29219,91109,-2398087,479445,8207216827,526234850,8733451677,436672584
2017-07-05,29219,91105,-4683362,-1096283,16028256058,1203314003,17231570061,861578503
2017-07-06,29217,91093,-5438369,-1129753,18613688895,1240219906,19853908801,992695440
2017-07-07,29205,90849,-5594236,-1173327,19154905132,1291515285,20446420416,1022321021
2017-07-10,29214,90961,-5660346,-1252066,19375751568,1376488381,20752239948,1037611997
2017-07-11,29212,90976,-5889491,-1556961,20160950717,1711391351,21872342068,1093617103
2017-07-12,29213,90995,-5914537,-1819809,20246352286,1999896036,22246248323,1112312416
2017-07-13,29218,91123,-5770707,-1897458,19750189226,2082305899,21832495124,1091624756
2017-07-14,29216,91097,-5784211,-2037469,19797765136,2236597047,22034362183,1101718109
2017-07-17,29214,91015,-5801168,-2105603,19857658743,2313466774,22171125517,1108556276
2017-07-18,29216,91079,-5826572,-2145454,19943250871,2355609093,22298859964,1114942998
2017-07-19,29216,91116,-5883126,-2157342,20136435272,2367695524,22504130796,1125206540
2017-07-20,29220,91188,-5836172,-2103001,19973113672,2306226634,22279340306,1113967015
2017-07-21,29224,91245,-5868607,-1940549,20081564300,2126747156,22208311456,1110415573
2017-07-24,29225,91267,-5567731,-921833,19051058236,1010041571,20061099807,1003054990
2017-07-25,29230,91314,-4415424,-1218347,15105747746,1334234407,16439982154,821999108
2017-07-26,29226,91217,-4658242,-1933490,15938936236,2119650933,18058587170,902929358
2017-07-27,29231,91314,-4207813,-1627663,14394910480,1782497967,16177408447,808870422
2017-07-28,29228,91280,-3723281,-1341053,12738732568,1469169295,14207901863,710395093
2017-07-31,29228,91282,-3399766,-1237188,11631867772,1355345996,12987213768,649360688
2017-08-01,29224,91188,-3442432,-1254308,11779390548,1375515346,13154905894,657745295
2017-08-02,29226,91216,-3479631,-1318510,11905825206,1445483431,13351308638,667565432
2017-08-03,29225,91195,-3637082,-1528176,12445062308,1675717227,14120779535,706038977
2017-08-04,29226,91216,-4779850,-2346305,16354831123,2572240618,18927071741,946353587
2017-08-07,29214,91044,-4999376,-2634299,17112973564,2893419137,20006392702,1000319635
2017-08-08,29202,90931,-6104358,-3260259,20903589547,3585411320,24489000867,1224450043
2017-08-09,29192,90843,-6071424,-3174783,20798553117,3494788047,24293341164,1214667058
2017-08-10,29201,90966,-6473768,-3348384,22169397920,3680901136,25850299056,1292514953
2017-08-11,29209,91065,-6523282,-3357058,22333451754,3686427544,26019879299,1300993965
2017-08-14,29207,91055,-6949468,-3658147,23793836762,4017518114,27811354876,1390567744
2017-08-16,29198,90938,-7067917,-3792677,24206611271,4170596412,28377207683,1418860384
2017-08-17,29203,90983,-7054430,-3862055,24156379870,4244804955,28401184825,1420059241
2017-08-18,29204,90980,-7109856,-3921232,24345196762,4309999573,28655196336,1432759817
2017-08-21,29202,90972,-7166815,-3929678,24541798249,4319641870,28861440120,1443072006
2017-08-22,29195,90939,-7035291,-3854835,24097277045,4238911706,28336188750,1416809438
2017-08-23,29198,90982,-7007357,-3795892,23999151911,4172157477,28171309388,1408565469
2017-08-24,29197,90960,-7029502,-3760771,24075911701,4134535575,28210447276,1410522364
2017-08-25,29207,91086,-5574556,-2690111,19086223902,2953374116,22039598018,1101979901
2017-08-28,29207,91096,-6499858,-3108169,22254081643,3411952159,25666033802,1283301690
2017-08-29,29210,91101,-5043653,-1787063,17266884572,1961631706,19228516278,961425814
2017-08-30,29216,91161,-5100758,-2759019,17458544305,3026533946,20485078252,1024253913
2017-08-31,29215,91125,-5353192,-2611850,18323173147,2866213741,21189386887,1059469344
2017-09-01,29213,91098,-5030025,-2458600,17218209345,2698857143,19917066488,995853324
2017-09-04,29207,91005,-4605944,-2359291,15770030087,2592480902,18362510989,918125549
2017-09-05,29209,91021,-4614351,-2610298,15797633785,2867805804,18665439589,933271979
2017-09-06,29212,91091,-4704450,-2057629,16104386267,2258865730,18363251998,918162600
2017-09-07,29215,91150,-4701910,-2025576,16093992931,2222251742,18316244672,915812234
2017-09-08,29223,91277,-2847898,-2250643,9745561463,2465734102,12211295565,610564778
2017-09-11,29220,91235,-2982278,-2393876,10206271188,2623855981,12830127169,641506358
2017-09-12,29222,91289,-3057097,-2399869,10461650546,2628869185,13090519731,654525987
2017-09-13,29224,91325,-3182458,-2316189,10889886970,2536217136,13426104106,671305205
2017-09-14,29222,91285,-3317379,-1083742,11352191290,1187207932,12539399223,626969961
2017-09-15,29222,91287,-3289802,-1148422,11257960144,1258034308,12515994452,625799723
2017-09-18,29219,91242,-1297723,-1210950,4441435521,1327188123,5768623644,288431182
2017-09-19,29203,91076,-1414531,-1240197,4843800553,1361718887,6205519440,310275972
2017-09-20,29207,91125,-2063860,-1108900,7066225682,1216897336,8283123018,414156151
2017-09-21,29200,91086,-3094767,-1294459,10598343727,1421146093,12019489820,600974491
2017-09-22,29201,91105,-3064641,-1925512,10494810246,2113512657,12608322903,630416145
2017-09-25,29196,91050,-3312975,-1613965,11347408667,1772612787,13120021455,656001073
2017-09-26,29180,90882,-4757307,-1354771,16303078739,1490698614,17793777353,889688868
2017-09-27,29155,90573,-4649513,-1874311,15947698998,2069393128,18017092126,900854606
2017-09-28,29152,90501,-5103248,-2796197,17505709526,3089698954,20595408480,1029770424
2017-09-29,29158,90594,-5341521,-2869603,18319037677,3167535536,21486573213,1074328661
2017-10-10,29145,90387,-5278025,-3323277,18109692417,3676706440,21786398858,1089319943
2017-10-11,29150,90442,-5430595,-3647291,18629966103,4032718524,22662684627,1133134231
2017-10-12,29158,90540,-5420573,-3841004,18590428760,4242331764,22832760524,1141638026
2017-10-13,29153,90507,-5583726,-4104904,19153251563,4535462537,23688714101,1184435705
2017-10-16,29142,90427,-5552552,-4374761,19053339979,4837908333,23891248312,1194562416
2017-10-17,29137,90411,-5548285,-4506858,19041761934,4984833323,24026595257,1201329763
2017-10-18,29137,90429,-5572823,-4635618,19126462977,5126256665,24252719642,1212635982
2017-10-19,29103,90151,-4146255,-3858443,14246850782,4279968638,18526819420,926340971
2017-10-20,29066,89909,-3353007,-3427852,11535868883,3812566474,15348435357,767421768
2017-10-23,29094,90061,-3047367,-3291701,10474328165,3654950771,14129278936,706463947
2017-10-24,29091,89985,-2494104,-2693977,8573494473,2993803397,11567297870,578364893
2017-10-25,29084,89816,-2467837,-2591196,8485172645,2885016838,11370189483,568509474
2017-10-26,29067,89610,-2894160,-3053280,9956977458,3407282565,13364260023,668213001
2017-10-27,29074,89705,-2849975,-3007125,9802557563,3352241838,13154799401,657739970
2017-10-30,29071,89711,-2319926,-2458541,7980284822,2740518212,10720803035,536040152
2017-10-31,29058,89548,-2260722,-2349423,7780025874,2623635587,10403661461,520183073
2017-11-01,29066,89666,-2212327,-2286577,7611270033,2550108785,10161378818,508068941
2017-11-02,29071,89762,-2198766,-2260055,7563452372,2517834463,10081286835,504064342
2017-11-03,29067,89710,-2199248,-2262417,7566108427,2521924757,10088033184,504401659
2017-11-06,29064,89650,-2208937,-2271362,7600338167,2533601580,10133939746,506696987
2017-11-07,29070,89758,-2174810,-2224368,7481222031,2478171755,9959393786,497969689
2017-11-08,29064,89757,-2200122,-2273933,7569834068,2533440881,10103274949,505163747
2017-11-09,29064,89734,-2213017,-2285216,7614243953,2546648287,10160892240,508044612
2017-11-10,29064,89734,-2215620,-2282105,7623199305,2543180855,10166380160,508319008
2017-11-13,29055,89599,-2220768,-2257435,7643208470,2519478435,10162686905,508134345
2017-11-14,29038,89482,-2192953,-2254694,7551910107,2519719439,10071629546,503581477
2017-11-15,29049,89648,-2129702,-2141567,7331504956,2388850689,9720355645,486017782
2017-11-16,29045,89593,-2133916,-2105857,7346926780,2350479440,9697406219,484870311
